locus_tag	ftype	length_bp	gene	EC_number	COG	product
OFNEJNIJ_00001	CDS	297				hypothetical protein
OFNEJNIJ_00002	CDS	240				hypothetical protein
OFNEJNIJ_00003	CDS	1341	glnA_1	6.3.1.2	COG0174	Glutamine synthetase
OFNEJNIJ_00004	CDS	576	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
OFNEJNIJ_00005	CDS	618	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
OFNEJNIJ_00006	CDS	579	cinA			Putative competence-damage inducible protein
OFNEJNIJ_00007	CDS	291	clgR			Transcriptional regulator ClgR
OFNEJNIJ_00008	CDS	729	thyX	2.1.1.148	COG1351	Flavin-dependent thymidylate synthase
OFNEJNIJ_00009	CDS	996				hypothetical protein
OFNEJNIJ_00010	CDS	1626				hypothetical protein
OFNEJNIJ_00011	CDS	735				hypothetical protein
OFNEJNIJ_00012	CDS	1506	glpD1	1.1.5.3	COG0578	Glycerol-3-phosphate dehydrogenase 1
OFNEJNIJ_00013	CDS	249				hypothetical protein
OFNEJNIJ_00014	CDS	1011	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
OFNEJNIJ_00015	CDS	759				hypothetical protein
OFNEJNIJ_00016	CDS	621	fbiD	2.7.7.68	COG1920	Phosphoenolpyruvate guanylyltransferase
OFNEJNIJ_00017	CDS	2253				hypothetical protein
OFNEJNIJ_00018	CDS	714				hypothetical protein
OFNEJNIJ_00019	CDS	828				hypothetical protein
OFNEJNIJ_00020	CDS	1863	gyrA	5.6.2.2		DNA gyrase subunit A
OFNEJNIJ_00021	CDS	1257	ynfM			Inner membrane transport protein YnfM
OFNEJNIJ_00022	CDS	720	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
OFNEJNIJ_00023	CDS	1266	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
OFNEJNIJ_00024	CDS	492	glnA_2	6.3.1.2	COG0174	Glutamine synthetase
OFNEJNIJ_00025	CDS	699				putative protein
OFNEJNIJ_00026	CDS	1314				hypothetical protein
OFNEJNIJ_00027	CDS	915	lipA	2.8.1.8	COG0320	Lipoyl synthase
OFNEJNIJ_00028	CDS	1134	carA	6.3.5.5	COG0505	Carbamoyl-phosphate synthase small chain
OFNEJNIJ_00029	CDS	552				hypothetical protein
OFNEJNIJ_00030	CDS	1299	pyrC	3.5.2.3	COG0044	Dihydroorotase
OFNEJNIJ_00031	CDS	954	pyrB	2.1.3.2	COG0540	Aspartate carbamoyltransferase
OFNEJNIJ_00032	CDS	576	pyrR		COG2065	Bifunctional protein PyrR
OFNEJNIJ_00033	CDS	492				hypothetical protein
OFNEJNIJ_00034	CDS	861	pyk	2.7.1.40	COG0469	Pyruvate kinase
OFNEJNIJ_00035	CDS	345				hypothetical protein
OFNEJNIJ_00036	CDS	1626				hypothetical protein
OFNEJNIJ_00037	CDS	969	recN		COG0497	DNA repair protein RecN
OFNEJNIJ_00038	CDS	621				hypothetical protein
OFNEJNIJ_00039	CDS	810				hypothetical protein
OFNEJNIJ_00040	CDS	1161	crtQ	2.4.1.-		4,4'-diaponeurosporenoate glycosyltransferase
OFNEJNIJ_00041	CDS	252	rpsS		COG0185	30S ribosomal protein S19
OFNEJNIJ_00042	CDS	363	rplV		COG0091	50S ribosomal protein L22
OFNEJNIJ_00043	CDS	819				hypothetical protein
OFNEJNIJ_00044	CDS	420	rplP		COG0197	50S ribosomal protein L16
OFNEJNIJ_00045	CDS	237	rpmC		COG0255	50S ribosomal protein L29
OFNEJNIJ_00046	CDS	294	rpsQ		COG0186	30S ribosomal protein S17
OFNEJNIJ_00047	CDS	369	rplN		COG0093	50S ribosomal protein L14
OFNEJNIJ_00048	CDS	360	rplX		COG0198	50S ribosomal protein L24
OFNEJNIJ_00049	CDS	561	rplE		COG0094	50S ribosomal protein L5
OFNEJNIJ_00050	CDS	186	rpsZ		COG0199	30S ribosomal protein S14 type Z
OFNEJNIJ_00051	CDS	393	rpsH		COG0096	30S ribosomal protein S8
OFNEJNIJ_00052	CDS	537	rplF		COG0097	50S ribosomal protein L6
OFNEJNIJ_00053	CDS	378	rplR		COG0256	50S ribosomal protein L18
OFNEJNIJ_00054	CDS	579	rpsE		COG0098	30S ribosomal protein S5
OFNEJNIJ_00055	CDS	390	ppc	4.1.1.31	COG2352	Phosphoenolpyruvate carboxylase
OFNEJNIJ_00056	CDS	579				hypothetical protein
OFNEJNIJ_00057	CDS	2823	gbpA_1			GlcNAc-binding protein A
OFNEJNIJ_00058	CDS	1083	gbpA_2			GlcNAc-binding protein A
OFNEJNIJ_00059	CDS	645				hypothetical protein
OFNEJNIJ_00060	CDS	276				hypothetical protein
OFNEJNIJ_00061	CDS	1164	pyrG	6.3.4.2	COG0504	CTP synthase
OFNEJNIJ_00062	CDS	654				hypothetical protein
OFNEJNIJ_00063	CDS	1014				hypothetical protein
OFNEJNIJ_00064	CDS	912	xerD		COG4974	Tyrosine recombinase XerD
OFNEJNIJ_00065	CDS	300		7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit 11
OFNEJNIJ_00066	CDS	963				hypothetical protein
OFNEJNIJ_00067	CDS	639	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
OFNEJNIJ_00068	CDS	1143	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
OFNEJNIJ_00069	CDS	1308	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
OFNEJNIJ_00070	CDS	1770				hypothetical protein
OFNEJNIJ_00071	CDS	633	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
OFNEJNIJ_00072	CDS	594				hypothetical protein
OFNEJNIJ_00073	CDS	411				hypothetical protein
OFNEJNIJ_00074	CDS	819	atpB		COG0356	ATP synthase subunit a
OFNEJNIJ_00075	CDS	234	atpH			ATP synthase subunit c
OFNEJNIJ_00076	CDS	561	atpF		COG0711	ATP synthase subunit b
OFNEJNIJ_00077	CDS	333				hypothetical protein
OFNEJNIJ_00078	CDS	405				hypothetical protein
OFNEJNIJ_00079	CDS	2802	secA			Protein translocase subunit SecA
OFNEJNIJ_00080	CDS	573	liaR_1		COG2197	Transcriptional regulatory protein LiaR
OFNEJNIJ_00081	CDS	327	hpf			Ribosome hibernation promoting factor
OFNEJNIJ_00082	CDS	681	mtrA		COG0745	DNA-binding response regulator MtrA
OFNEJNIJ_00083	CDS	444				hypothetical protein
OFNEJNIJ_00084	CDS	1377	pdhD	1.8.1.4		Dihydrolipoyl dehydrogenase
OFNEJNIJ_00085	CDS	1467	pepA	3.4.11.1	COG0260	putative cytosol aminopeptidase
OFNEJNIJ_00086	CDS	1128	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
OFNEJNIJ_00087	CDS	696	kipR		COG1414	HTH-type transcriptional regulator KipR
OFNEJNIJ_00088	CDS	1401	leuC	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
OFNEJNIJ_00089	CDS	591	leuD	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit
OFNEJNIJ_00090	CDS	2028	ftsH_1	3.4.24.-	COG0465	ATP-dependent zinc metalloprotease FtsH
OFNEJNIJ_00091	CDS	294				hypothetical protein
OFNEJNIJ_00092	CDS	378				hypothetical protein
OFNEJNIJ_00093	CDS	468	bcp	1.11.1.15	COG1225	Putative peroxiredoxin
OFNEJNIJ_00094	CDS	690	nikMN		COG0310	Fused nickel transport protein NikMN
OFNEJNIJ_00095	CDS	369				hypothetical protein
OFNEJNIJ_00096	CDS	792	ecfT			Energy-coupling factor transporter transmembrane protein EcfT
OFNEJNIJ_00097	CDS	744	ecfA3	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA3
OFNEJNIJ_00098	CDS	408				hypothetical protein
OFNEJNIJ_00099	CDS	1296				hypothetical protein
OFNEJNIJ_00100	CDS	939				hypothetical protein
OFNEJNIJ_00101	CDS	2247	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
OFNEJNIJ_00102	CDS	711				hypothetical protein
OFNEJNIJ_00103	CDS	438				hypothetical protein
OFNEJNIJ_00104	CDS	534				hypothetical protein
OFNEJNIJ_00105	CDS	789	recF		COG1195	DNA replication and repair protein RecF
OFNEJNIJ_00106	CDS	429	ftsY		COG0552	Signal recognition particle receptor FtsY
OFNEJNIJ_00107	CDS	1335	amt			Ammonia channel
OFNEJNIJ_00108	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
OFNEJNIJ_00109	CDS	618				hypothetical protein
OFNEJNIJ_00110	CDS	1638	groL2			60 kDa chaperonin 2
OFNEJNIJ_00111	CDS	846	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
OFNEJNIJ_00112	CDS	264	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
OFNEJNIJ_00113	CDS	504	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
OFNEJNIJ_00114	CDS	1308	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
OFNEJNIJ_00115	CDS	612	ribE	2.5.1.9	COG0307	Riboflavin synthase
OFNEJNIJ_00116	CDS	459	ribD		COG0117	Riboflavin biosynthesis protein RibD
OFNEJNIJ_00117	CDS	1074				hypothetical protein
OFNEJNIJ_00118	CDS	540				hypothetical protein
OFNEJNIJ_00119	CDS	1134	mrp		COG0489	Iron-sulfur cluster carrier protein
OFNEJNIJ_00120	CDS	768				hypothetical protein
OFNEJNIJ_00121	CDS	798	fadH	1.3.1.34	COG1028	putative 2,4-dienoyl-CoA reductase
OFNEJNIJ_00122	CDS	264				hypothetical protein
OFNEJNIJ_00123	CDS	630				hypothetical protein
OFNEJNIJ_00124	CDS	906	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
OFNEJNIJ_00125	CDS	456				hypothetical protein
OFNEJNIJ_00126	CDS	501				hypothetical protein
OFNEJNIJ_00127	CDS	426				hypothetical protein
OFNEJNIJ_00128	CDS	624	orn	3.1.-.-	COG1949	Oligoribonuclease
OFNEJNIJ_00129	tRNA	76				tRNA-His(gtg)
OFNEJNIJ_00130	CDS	1377	pxpA	3.5.2.9		5-oxoprolinase subunit A
OFNEJNIJ_00131	CDS	348	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
OFNEJNIJ_00132	CDS	786	bpoC_1	1.11.1.18	COG0596	Putative non-heme bromoperoxidase BpoC
OFNEJNIJ_00133	CDS	1350	oatA_1	2.3.1.-		O-acetyltransferase OatA
OFNEJNIJ_00134	CDS	1653	nadB	1.4.3.16	COG0029	L-aspartate oxidase
OFNEJNIJ_00135	CDS	840	panC	6.3.2.1	COG0414	Pantothenate synthetase
OFNEJNIJ_00136	CDS	2226	smc		COG1196	Chromosome partition protein Smc
OFNEJNIJ_00137	CDS	270				hypothetical protein
OFNEJNIJ_00138	CDS	801				hypothetical protein
OFNEJNIJ_00139	CDS	1233				hypothetical protein
OFNEJNIJ_00140	CDS	1362				hypothetical protein
OFNEJNIJ_00141	CDS	519				hypothetical protein
OFNEJNIJ_00142	CDS	297				hypothetical protein
OFNEJNIJ_00143	CDS	231				hypothetical protein
OFNEJNIJ_00144	CDS	405				hypothetical protein
OFNEJNIJ_00145	CDS	351				hypothetical protein
OFNEJNIJ_00146	CDS	414	oatA_2	2.3.1.-		O-acetyltransferase OatA
OFNEJNIJ_00147	CDS	315	recA			Protein RecA
OFNEJNIJ_00148	CDS	576	recX			Regulatory protein RecX
OFNEJNIJ_00149	CDS	651				hypothetical protein
OFNEJNIJ_00150	CDS	828				hypothetical protein
OFNEJNIJ_00151	CDS	669	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
OFNEJNIJ_00152	CDS	1113	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
OFNEJNIJ_00153	CDS	861	cdsA	2.7.7.41	COG0575	Phosphatidate cytidylyltransferase
OFNEJNIJ_00154	CDS	453	frr		COG0233	Ribosome-recycling factor
OFNEJNIJ_00155	CDS	651	nuoC	7.1.1.-	COG0852	NADH-quinone oxidoreductase subunit C
OFNEJNIJ_00156	CDS	1317	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
OFNEJNIJ_00157	CDS	648	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
OFNEJNIJ_00158	CDS	1623	jefA			Drug efflux pump JefA
OFNEJNIJ_00159	tRNA	87				tRNA-Leu(gag)
OFNEJNIJ_00160	CDS	447				hypothetical protein
