Assemblies                                 final.contigs
Adhaeribacter_aquaticus_DSM_16391          -            
Aestuariivita_boseongensis                 701          
Aquimarina_sp._22II-S11-z7                 495          
Coraliomargarita_akajimensis_DSM_45221     85           
Fluviicola_taffensis_DSM_16823             495          
Formosa_algae                              495          
Frankia_sp._Iso899                         234          
Geobacter_pickeringii                      -            
Geobacter_sulfurreducens_KN400             86           
Ilumatobacter_coccineus_YM16-304           651          
Ilumatobacter_fluminis                     699          
Ilumatobacter_nonamiensis_YM16-303         651          
Leisingera_caerulea_DSM_24564              531          
Lishizhenia_tianjinensis                   208          
Magnetococcus_marinus_MC-1                 121          
Methylobacter_sp._XLMV4                    608          
Nitrospina_sp._SCGC_AAA288-L16             558          
Oceanicola_granulosus_HTCC2516             456          
Porticoccus_hydrocarbonoclasticus_MCTG13d  179          
Pseudoruegeria_aquimaris                   513          
Roseobacter_sp._SK209-2-6                  456          
Shewanella_amazonensis_SB2B                174          
Synechococcus_sp._KORDI-49                 1712         
Syntrophus_aciditrophicus                  117          
Thioalkalivibrio_sp._ALJ17                 101          
Thioalkalivibrio_sulfidiphilus_HL-EbGr7    101          
Thiohalobacter_thiocyanaticus              94           
Ulvibacter_litoralis                       386          
alpha_proteobacterium_BAL199               148          
gamma_proteobacterium_SCGC_AB-629-P17      727          
marine_gamma_proteobacterium_HTCC2080      1995         
