Assemblies                                    final.contigs
Aminobacter_sp._J41                           3            
Aquimarina_sp._22II-S11-z7                    16           
Dehalogenimonas_lykanthroporepellens_BL-DC-9  -            
Formosa_agariphila_KMM_3901                   14           
Geopsychrobacter_electrodiphilus_DSM_16401    -            
Ilumatobacter_coccineus_YM16-304              7            
Lyngbya_confervoides_BDU141951                2            
Marinimicrobium_sp._LS-A18                    3            
Marinobacter_similis                          1            
Marivirga_tractuosa_DSM_4126                  5            
Mesorhizobium_sp._LSJC280B00                  2            
Nitrospina_sp._SCGC_AAA288-L16                -            
Oleispira_antarctica_RB-8                     -            
Photobacterium_halotolerans                   -            
Planctomyces_maris_DSM_8797                   2            
Porticoccus_hydrocarbonoclasticus_MCTG13d     1            
Pseudohongiella_spirulinae                    5            
Psychroserpens_sp._PAMC_27130                 7            
Puniceicoccus_vermicola                       -            
Rhodobacteraceae_bacterium_HIMB11             12           
Shewanella_amazonensis_SB2B                   1            
Spongiibacter_tropicus_DSM_19543              3            
Synechococcus_sp._KORDI-49                    36           
Syntrophus_aciditrophicus                     -            
Thioalkalivibrio_sulfidiphilus_HL-EbGr7       3            
Vibrio_sinaloensis                            5            
alpha_proteobacterium_SCGC_AAA015-O19         21           
gamma_proteobacterium_SCGC_AB-629-P17         8            
marine_gamma_proteobacterium_HTCC2080         12           
not_aligned                                   89464        
