Assemblies	final.contigs
Adhaeribacter_aquaticus_DSM_16391	-
Aestuariivita_boseongensis	0.047
Aquimarina_sp._22II-S11-z7	0.026
Coraliomargarita_akajimensis_DSM_45221	0.004
Fluviicola_taffensis_DSM_16823	0.015
Formosa_algae	0.028
Frankia_sp._Iso899	0.006
Geobacter_pickeringii	-
Geobacter_sulfurreducens_KN400	0.002
Ilumatobacter_coccineus_YM16-304	0.025
Ilumatobacter_fluminis	0.077
Ilumatobacter_nonamiensis_YM16-303	0.035
Leisingera_caerulea_DSM_24564	0.041
Lishizhenia_tianjinensis	0.011
Magnetococcus_marinus_MC-1	0.004
Methylobacter_sp._XLMV4	0.017
Nitrospina_sp._SCGC_AAA288-L16	0.043
Oceanicola_granulosus_HTCC2516	0.023
Porticoccus_hydrocarbonoclasticus_MCTG13d	0.014
Pseudoruegeria_aquimaris	0.040
Roseobacter_sp._SK209-2-6	0.036
Shewanella_amazonensis_SB2B	0.008
Synechococcus_sp._KORDI-49	0.194
Syntrophus_aciditrophicus	0.006
Thioalkalivibrio_sp._ALJ17	0.013
Thioalkalivibrio_sulfidiphilus_HL-EbGr7	0.013
Thiohalobacter_thiocyanaticus	0.021
Ulvibacter_litoralis	0.019
alpha_proteobacterium_BAL199	0.007
gamma_proteobacterium_SCGC_AB-629-P17	0.188
marine_gamma_proteobacterium_HTCC2080	0.100
