Assemblies                                 final.contigs
Adhaeribacter_aquaticus_DSM_16391          -            
Aestuariivita_boseongensis                 0            
Aquimarina_sp._22II-S11-z7                 0            
Coraliomargarita_akajimensis_DSM_45221     0            
Fluviicola_taffensis_DSM_16823             0            
Formosa_algae                              0            
Frankia_sp._Iso899                         0            
Geobacter_pickeringii                      -            
Geobacter_sulfurreducens_KN400             0            
Ilumatobacter_coccineus_YM16-304           0            
Ilumatobacter_fluminis                     0            
Ilumatobacter_nonamiensis_YM16-303         0            
Leisingera_caerulea_DSM_24564              0            
Lishizhenia_tianjinensis                   0            
Magnetococcus_marinus_MC-1                 0            
Methylobacter_sp._XLMV4                    0            
Nitrospina_sp._SCGC_AAA288-L16             0            
Oceanicola_granulosus_HTCC2516             0            
Porticoccus_hydrocarbonoclasticus_MCTG13d  0            
Pseudoruegeria_aquimaris                   0            
Roseobacter_sp._SK209-2-6                  0            
Shewanella_amazonensis_SB2B                0            
Synechococcus_sp._KORDI-49                 0            
Syntrophus_aciditrophicus                  0            
Thioalkalivibrio_sp._ALJ17                 0            
Thioalkalivibrio_sulfidiphilus_HL-EbGr7    0            
Thiohalobacter_thiocyanaticus              0            
Ulvibacter_litoralis                       0            
alpha_proteobacterium_BAL199               0            
gamma_proteobacterium_SCGC_AB-629-P17      0            
marine_gamma_proteobacterium_HTCC2080      0            
