locus_tag	ftype	length_bp	gene	EC_number	COG	product
GECPLDIP_00001	CDS	1347	pmbA	3.4.-.-	COG0312	Metalloprotease PmbA
GECPLDIP_00002	CDS	459				hypothetical protein
GECPLDIP_00003	CDS	489	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
GECPLDIP_00004	CDS	351	hisC	2.6.1.9		Histidinol-phosphate aminotransferase
GECPLDIP_00005	CDS	2958				hypothetical protein
GECPLDIP_00006	CDS	168	gcvPB	1.4.4.2		glycine dehydrogenase (decarboxylating) subunit 2
GECPLDIP_00007	CDS	801	cysQ	3.1.3.7	COG1218	3'(2'),5'-bisphosphate nucleotidase CysQ
GECPLDIP_00008	CDS	216				hypothetical protein
GECPLDIP_00009	CDS	1797	copA			Copper resistance protein A
GECPLDIP_00010	CDS	618	copB			Copper resistance protein B
GECPLDIP_00011	CDS	915				hypothetical protein
GECPLDIP_00012	CDS	2475	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
GECPLDIP_00013	CDS	222				hypothetical protein
GECPLDIP_00014	CDS	288				hypothetical protein
GECPLDIP_00015	CDS	789	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GECPLDIP_00016	CDS	933	araD	4.2.1.43		L-2-keto-3-deoxyarabonate dehydratase
GECPLDIP_00017	CDS	951	acp			Sodium/proton-dependent alanine carrier protein
GECPLDIP_00018	CDS	516	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
GECPLDIP_00019	CDS	1005	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
GECPLDIP_00020	CDS	504	secB			Protein-export protein SecB
GECPLDIP_00021	CDS	540	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
GECPLDIP_00022	CDS	921		1.4.3.2	COG1231	L-amino acid oxidase
GECPLDIP_00023	CDS	570				hypothetical protein
GECPLDIP_00024	CDS	1521				hypothetical protein
GECPLDIP_00025	CDS	216				hypothetical protein
GECPLDIP_00026	CDS	216				hypothetical protein
GECPLDIP_00027	CDS	207	cspV		COG1278	Cold shock protein CspV
GECPLDIP_00028	CDS	219				hypothetical protein
GECPLDIP_00029	CDS	150				hypothetical protein
GECPLDIP_00030	CDS	198				hypothetical protein
GECPLDIP_00031	CDS	936	mcpQ		COG0840	Methyl-accepting chemotaxis protein McpQ
GECPLDIP_00032	CDS	138				hypothetical protein
GECPLDIP_00033	CDS	528				hypothetical protein
GECPLDIP_00034	CDS	204				hypothetical protein
GECPLDIP_00035	CDS	771				hypothetical protein
GECPLDIP_00036	CDS	279				hypothetical protein
GECPLDIP_00037	CDS	1002	curA	1.3.1.-	COG2130	NADPH-dependent curcumin reductase
GECPLDIP_00038	CDS	903				hypothetical protein
GECPLDIP_00039	CDS	1782				hypothetical protein
GECPLDIP_00040	CDS	441				hypothetical protein
GECPLDIP_00041	CDS	351				hypothetical protein
GECPLDIP_00042	CDS	1023	sohB	3.4.21.-	COG0616	putative protease SohB
GECPLDIP_00043	CDS	1026	lipA	2.8.1.8	COG0320	Lipoyl synthase
GECPLDIP_00044	CDS	243				hypothetical protein
GECPLDIP_00045	CDS	981	hyfR		COG3604	DNA-binding transcriptional activator HyfR
GECPLDIP_00046	CDS	1437	dacC_1	3.4.16.4	COG2027	D-alanyl-D-alanine carboxypeptidase DacC
GECPLDIP_00047	CDS	465				hypothetical protein
GECPLDIP_00048	CDS	561				hypothetical protein
GECPLDIP_00049	CDS	429	holC	2.7.7.7	COG2927	DNA polymerase III subunit chi
GECPLDIP_00050	CDS	486	pepA_1	3.4.11.1	COG0260	Cytosol aminopeptidase
GECPLDIP_00051	CDS	990	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
GECPLDIP_00052	CDS	1659				hypothetical protein
GECPLDIP_00053	CDS	1137	doeA	3.5.4.44	COG0006	Ectoine hydrolase
GECPLDIP_00054	CDS	1044	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
GECPLDIP_00055	CDS	627				hypothetical protein
GECPLDIP_00056	CDS	702				hypothetical protein
GECPLDIP_00057	CDS	486		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
GECPLDIP_00058	CDS	1524	argD	2.6.1.17		Acetylornithine/succinyldiaminopimelate aminotransferase
GECPLDIP_00059	CDS	1710	sldA_1	1.1.99.22		Glycerol dehydrogenase large subunit
GECPLDIP_00060	CDS	492	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
GECPLDIP_00061	CDS	1254	nuoD	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit D
GECPLDIP_00062	CDS	705	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
GECPLDIP_00063	CDS	273	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
GECPLDIP_00064	CDS	405				hypothetical protein
GECPLDIP_00065	CDS	1110	frmA	1.1.1.284	COG1062	S-(hydroxymethyl)glutathione dehydrogenase
GECPLDIP_00066	CDS	1086	tyrA		COG0287	T-protein
GECPLDIP_00067	CDS	309	hmuU		COG0609	Hemin transport system permease protein HmuU
GECPLDIP_00068	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
GECPLDIP_00069	CDS	570	ubiJ			Ubiquinone biosynthesis accessory factor UbiJ
GECPLDIP_00070	CDS	744	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
GECPLDIP_00071	CDS	360				hypothetical protein
GECPLDIP_00072	CDS	1797	leuS	6.1.1.4		Leucine--tRNA ligase
GECPLDIP_00073	CDS	456	lptE		COG2980	LPS-assembly lipoprotein LptE
GECPLDIP_00074	CDS	492				hypothetical protein
GECPLDIP_00075	CDS	588	lptD		COG1452	LPS-assembly protein LptD
GECPLDIP_00076	CDS	1302	surA	5.2.1.8	COG0760	Chaperone SurA
GECPLDIP_00077	CDS	285				hypothetical protein
GECPLDIP_00078	CDS	1743	sthA	1.6.1.1		Soluble pyridine nucleotide transhydrogenase
GECPLDIP_00079	CDS	1143	aceF	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
GECPLDIP_00080	CDS	1056				hypothetical protein
GECPLDIP_00081	CDS	1212	hemY		COG3071	Protein HemY
GECPLDIP_00082	CDS	819				hypothetical protein
GECPLDIP_00083	CDS	468				hypothetical protein
GECPLDIP_00084	CDS	819				hypothetical protein
GECPLDIP_00085	CDS	1203				hypothetical protein
GECPLDIP_00086	CDS	324			COG1146	Ferredoxin 1
GECPLDIP_00087	CDS	552				hypothetical protein
GECPLDIP_00088	CDS	975	aqdA1	3.5.1.-		putative N-octanoylanthranilate hydrolase AqdA1
GECPLDIP_00089	CDS	537				hypothetical protein
GECPLDIP_00090	CDS	1416	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
GECPLDIP_00091	CDS	1035	mdeA	4.4.1.11		L-methionine gamma-lyase
GECPLDIP_00092	CDS	1050	recA		COG0468	Protein RecA
GECPLDIP_00093	CDS	510	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
GECPLDIP_00094	CDS	1131	mshA	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
GECPLDIP_00095	CDS	642				hypothetical protein
GECPLDIP_00096	CDS	483	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
GECPLDIP_00097	CDS	594	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
GECPLDIP_00098	CDS	984	ftsY		COG0552	Signal recognition particle receptor FtsY
GECPLDIP_00099	CDS	357				hypothetical protein
GECPLDIP_00100	CDS	1083	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
GECPLDIP_00101	CDS	1641	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
GECPLDIP_00102	CDS	447				hypothetical protein
GECPLDIP_00103	CDS	351				hypothetical protein
GECPLDIP_00104	CDS	207				hypothetical protein
GECPLDIP_00105	CDS	1194	gcvT_1	2.1.2.10	COG0404	Aminomethyltransferase
GECPLDIP_00106	CDS	348				hypothetical protein
GECPLDIP_00107	CDS	1416		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
GECPLDIP_00108	CDS	738				hypothetical protein
GECPLDIP_00109	CDS	879				hypothetical protein
GECPLDIP_00110	CDS	279	acrC	1.3.1.95		Acryloyl-CoA reductase (NADH)
GECPLDIP_00111	CDS	786	caiD	4.2.1.149		Carnitinyl-CoA dehydratase
GECPLDIP_00112	CDS	2055	FCS1	6.2.1.34		Trans-feruloyl-CoA synthase FCS1
GECPLDIP_00113	CDS	423				hypothetical protein
GECPLDIP_00114	CDS	714				hypothetical protein
GECPLDIP_00115	CDS	351				hypothetical protein
GECPLDIP_00116	CDS	330				hypothetical protein
GECPLDIP_00117	CDS	813				hypothetical protein
GECPLDIP_00118	CDS	462				hypothetical protein
GECPLDIP_00119	CDS	1104	zapE		COG1485	Cell division protein ZapE
GECPLDIP_00120	CDS	1767	nfdA_1	3.5.1.91		N-substituted formamide deformylase
GECPLDIP_00121	CDS	444				hypothetical protein
GECPLDIP_00122	CDS	384	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
GECPLDIP_00123	CDS	1137				Deoxyguanosinetriphosphate triphosphohydrolase-like protein
GECPLDIP_00124	CDS	714	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
GECPLDIP_00125	CDS	1068	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
GECPLDIP_00126	CDS	729	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
GECPLDIP_00127	CDS	705	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
GECPLDIP_00128	CDS	963	cmpR		COG0583	HTH-type transcriptional activator CmpR
GECPLDIP_00129	CDS	1440				hypothetical protein
GECPLDIP_00130	CDS	921				hypothetical protein
GECPLDIP_00131	CDS	1206	cocE_1	3.1.1.84		Cocaine esterase
GECPLDIP_00132	CDS	612				hypothetical protein
GECPLDIP_00133	CDS	363				hypothetical protein
GECPLDIP_00134	CDS	1110				hypothetical protein
GECPLDIP_00135	CDS	1056				hypothetical protein
GECPLDIP_00136	CDS	1806	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
GECPLDIP_00137	CDS	1818	sfrB	1.-.-.-	COG0493	NADPH-Fe(3+) oxidoreductase subunit beta
GECPLDIP_00138	CDS	1191	allB	3.5.2.5	COG0044	Allantoinase
GECPLDIP_00139	CDS	885	prfB		COG1186	Peptide chain release factor RF2
GECPLDIP_00140	CDS	1722	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
GECPLDIP_00141	CDS	966				hypothetical protein
GECPLDIP_00142	CDS	558				hypothetical protein
GECPLDIP_00143	CDS	339	glnK_1		COG0347	Nitrogen regulatory protein P-II 2
GECPLDIP_00144	CDS	309	ubiK			Ubiquinone biosynthesis accessory factor UbiK
GECPLDIP_00145	CDS	276				hypothetical protein
GECPLDIP_00146	CDS	1413				hypothetical protein
GECPLDIP_00147	CDS	834	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
GECPLDIP_00148	CDS	702	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
GECPLDIP_00149	CDS	360				hypothetical protein
GECPLDIP_00150	CDS	216				hypothetical protein
GECPLDIP_00151	CDS	564				hypothetical protein
GECPLDIP_00152	CDS	1230	sucC	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
GECPLDIP_00153	CDS	444				hypothetical protein
GECPLDIP_00154	CDS	315				hypothetical protein
GECPLDIP_00155	CDS	951	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
GECPLDIP_00156	CDS	618				hypothetical protein
GECPLDIP_00157	CDS	372				hypothetical protein
GECPLDIP_00158	CDS	792				hypothetical protein
GECPLDIP_00159	CDS	714				hypothetical protein
GECPLDIP_00160	CDS	162				hypothetical protein
GECPLDIP_00161	CDS	855				hypothetical protein
GECPLDIP_00162	CDS	216				hypothetical protein
GECPLDIP_00163	CDS	1389				hypothetical protein
GECPLDIP_00164	CDS	360				hypothetical protein
GECPLDIP_00165	CDS	516				hypothetical protein
GECPLDIP_00166	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
GECPLDIP_00167	CDS	1377	trkA		COG0569	Trk system potassium uptake protein TrkA
GECPLDIP_00168	CDS	945	tdcB	4.3.1.19		L-threonine dehydratase catabolic TdcB
GECPLDIP_00169	CDS	735				hypothetical protein
GECPLDIP_00170	CDS	489				hypothetical protein
GECPLDIP_00171	CDS	1086				hypothetical protein
GECPLDIP_00172	CDS	1176	msrP	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
GECPLDIP_00173	CDS	1299	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
GECPLDIP_00174	CDS	117				hypothetical protein
GECPLDIP_00175	CDS	717				hypothetical protein
GECPLDIP_00176	CDS	411				hypothetical protein
GECPLDIP_00177	CDS	258				hypothetical protein
GECPLDIP_00178	CDS	219				hypothetical protein
GECPLDIP_00179	CDS	723	rph	2.7.7.56	COG0689	Ribonuclease PH
GECPLDIP_00180	CDS	747		3.1.3.16		Putative protein phosphatase 2C-type
GECPLDIP_00181	CDS	867				hypothetical protein
GECPLDIP_00182	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
GECPLDIP_00183	CDS	282	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
GECPLDIP_00184	CDS	2157	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
GECPLDIP_00185	CDS	384	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
GECPLDIP_00186	CDS	285				hypothetical protein
GECPLDIP_00187	CDS	2199	sgrR			HTH-type transcriptional regulator SgrR
GECPLDIP_00188	CDS	855	gsiD		COG1173	Glutathione transport system permease protein GsiD
GECPLDIP_00189	CDS	792				hypothetical protein
GECPLDIP_00190	CDS	618	hisI	3.5.4.19		Histidine biosynthesis bifunctional protein HisIE
GECPLDIP_00191	CDS	627	hisF	4.3.2.10	COG0107	Imidazole glycerol phosphate synthase subunit HisF
GECPLDIP_00192	CDS	741	hisA	5.3.1.16	COG0106	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase
