Assemblies                                    final.contigs
Aminobacter_sp._J41                           201          
Aquimarina_sp._22II-S11-z7                    225          
Dehalogenimonas_lykanthroporepellens_BL-DC-9  -            
Formosa_agariphila_KMM_3901                   476          
Geopsychrobacter_electrodiphilus_DSM_16401    -            
Ilumatobacter_coccineus_YM16-304              529          
Lyngbya_confervoides_BDU141951                130          
Marinimicrobium_sp._LS-A18                    77           
Marinobacter_similis                          93           
Marivirga_tractuosa_DSM_4126                  99           
Mesorhizobium_sp._LSJC280B00                  72           
Nitrospina_sp._SCGC_AAA288-L16                -            
Oleispira_antarctica_RB-8                     -            
Photobacterium_halotolerans                   -            
Planctomyces_maris_DSM_8797                   552          
Porticoccus_hydrocarbonoclasticus_MCTG13d     177          
Pseudohongiella_spirulinae                    89           
Psychroserpens_sp._PAMC_27130                 262          
Puniceicoccus_vermicola                       -            
Rhodobacteraceae_bacterium_HIMB11             560          
Shewanella_amazonensis_SB2B                   71           
Spongiibacter_tropicus_DSM_19543              150          
Synechococcus_sp._KORDI-49                    2357         
Syntrophus_aciditrophicus                     -            
Thioalkalivibrio_sulfidiphilus_HL-EbGr7       78           
Vibrio_sinaloensis                            867          
alpha_proteobacterium_SCGC_AAA015-O19         1716         
gamma_proteobacterium_SCGC_AB-629-P17         1956         
marine_gamma_proteobacterium_HTCC2080         961          
