Assemblies	final.contigs
Adhaeribacter_aquaticus_DSM_16391	-
Aestuariivita_boseongensis	1.278
Aquimarina_sp._22II-S11-z7	1.072
Coraliomargarita_akajimensis_DSM_45221	2.562
Fluviicola_taffensis_DSM_16823	1.449
Formosa_algae	1.023
Frankia_sp._Iso899	1.984
Geobacter_pickeringii	-
Geobacter_sulfurreducens_KN400	1.000
Ilumatobacter_coccineus_YM16-304	2.502
Ilumatobacter_fluminis	1.748
Ilumatobacter_nonamiensis_YM16-303	1.403
Leisingera_caerulea_DSM_24564	2.959
Lishizhenia_tianjinensis	1.000
Magnetococcus_marinus_MC-1	1.000
Methylobacter_sp._XLMV4	2.869
Nitrospina_sp._SCGC_AAA288-L16	1.000
Oceanicola_granulosus_HTCC2516	1.628
Porticoccus_hydrocarbonoclasticus_MCTG13d	1.000
Pseudoruegeria_aquimaris	2.019
Roseobacter_sp._SK209-2-6	2.073
Shewanella_amazonensis_SB2B	1.000
Synechococcus_sp._KORDI-49	1.170
Syntrophus_aciditrophicus	5.583
Thioalkalivibrio_sp._ALJ17	2.123
Thioalkalivibrio_sulfidiphilus_HL-EbGr7	2.123
Thiohalobacter_thiocyanaticus	3.859
Ulvibacter_litoralis	1.752
alpha_proteobacterium_BAL199	2.756
gamma_proteobacterium_SCGC_AB-629-P17	1.572
marine_gamma_proteobacterium_HTCC2080	1.722
