Assemblies	final.contigs
Adhaeribacter_aquaticus_DSM_16391	-
Aestuariivita_boseongensis	39120
Aquimarina_sp._22II-S11-z7	30081
Coraliomargarita_akajimensis_DSM_45221	12014
Fluviicola_taffensis_DSM_16823	6609
Formosa_algae	11040
Frankia_sp._Iso899	14802
Geobacter_pickeringii	-
Geobacter_sulfurreducens_KN400	13479
Ilumatobacter_coccineus_YM16-304	17696
Ilumatobacter_fluminis	33477
Ilumatobacter_nonamiensis_YM16-303	12234
Leisingera_caerulea_DSM_24564	12521
Lishizhenia_tianjinensis	7231
Magnetococcus_marinus_MC-1	3852
Methylobacter_sp._XLMV4	22078
Nitrospina_sp._SCGC_AAA288-L16	15671
Oceanicola_granulosus_HTCC2516	5518
Porticoccus_hydrocarbonoclasticus_MCTG13d	3128
Pseudoruegeria_aquimaris	61907
Roseobacter_sp._SK209-2-6	6886
Shewanella_amazonensis_SB2B	3537
Synechococcus_sp._KORDI-49	6359
Syntrophus_aciditrophicus	2633
Thioalkalivibrio_sp._ALJ17	30596
Thioalkalivibrio_sulfidiphilus_HL-EbGr7	30596
Thiohalobacter_thiocyanaticus	761450
Ulvibacter_litoralis	11207
alpha_proteobacterium_BAL199	16250
gamma_proteobacterium_SCGC_AB-629-P17	8446
marine_gamma_proteobacterium_HTCC2080	27386
not_aligned	119350591
