locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHJGGDGK_00001	CDS	1431				hypothetical protein
EHJGGDGK_00002	CDS	543				hypothetical protein
EHJGGDGK_00003	CDS	699				hypothetical protein
EHJGGDGK_00004	CDS	267				hypothetical protein
EHJGGDGK_00005	CDS	807				hypothetical protein
EHJGGDGK_00006	CDS	774				hypothetical protein
EHJGGDGK_00007	CDS	537				hypothetical protein
EHJGGDGK_00008	CDS	1401	rssB_1			Regulator of RpoS
EHJGGDGK_00009	CDS	822	cheR2	2.1.1.80		Chemotaxis protein methyltransferase Cher2
EHJGGDGK_00010	CDS	1527	cheB_1	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
EHJGGDGK_00011	CDS	2172				hypothetical protein
EHJGGDGK_00012	CDS	501				hypothetical protein
EHJGGDGK_00013	CDS	2286				hypothetical protein
EHJGGDGK_00014	CDS	759				hypothetical protein
EHJGGDGK_00015	CDS	270				hypothetical protein
EHJGGDGK_00016	CDS	2160				hypothetical protein
EHJGGDGK_00017	CDS	864				hypothetical protein
EHJGGDGK_00018	CDS	507	clpP_1	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
EHJGGDGK_00019	CDS	963				hypothetical protein
EHJGGDGK_00020	CDS	1017	gap_1	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
EHJGGDGK_00021	CDS	177				hypothetical protein
EHJGGDGK_00022	CDS	210				hypothetical protein
EHJGGDGK_00023	CDS	1005				hypothetical protein
EHJGGDGK_00024	CDS	2739				hypothetical protein
EHJGGDGK_00025	CDS	1425				hypothetical protein
EHJGGDGK_00026	CDS	780				hypothetical protein
EHJGGDGK_00027	CDS	1014				hypothetical protein
EHJGGDGK_00028	CDS	639				hypothetical protein
EHJGGDGK_00029	CDS	2340				hypothetical protein
EHJGGDGK_00030	CDS	594	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
EHJGGDGK_00031	CDS	615				hypothetical protein
EHJGGDGK_00032	CDS	2505	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
EHJGGDGK_00033	CDS	1284				hypothetical protein
EHJGGDGK_00034	CDS	969				hypothetical protein
EHJGGDGK_00035	CDS	255	drdI	5.3.1.-		5-deoxyribose 1-phosphate isomerase
EHJGGDGK_00036	CDS	1335	der		COG1160	GTPase Der
EHJGGDGK_00037	CDS	1206	mnmE	3.6.-.-		tRNA modification GTPase MnmE
EHJGGDGK_00038	CDS	1263				hypothetical protein
EHJGGDGK_00039	CDS	1620				hypothetical protein
EHJGGDGK_00040	CDS	699				hypothetical protein
EHJGGDGK_00041	CDS	960				hypothetical protein
EHJGGDGK_00042	CDS	2070	tkt	2.2.1.1		Transketolase
EHJGGDGK_00043	CDS	1446				hypothetical protein
EHJGGDGK_00044	CDS	1200	fccB	1.8.2.3	COG0446	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain
EHJGGDGK_00045	CDS	3165				hypothetical protein
EHJGGDGK_00046	CDS	969				hypothetical protein
EHJGGDGK_00047	CDS	1212	pknD_1	2.7.11.1		Serine/threonine-protein kinase PknD
EHJGGDGK_00048	CDS	540				hypothetical protein
EHJGGDGK_00049	CDS	1086				hypothetical protein
EHJGGDGK_00050	CDS	177				hypothetical protein
EHJGGDGK_00051	CDS	669	tdcB	4.3.1.19	COG1171	L-threonine ammonia-lyase
EHJGGDGK_00052	CDS	1464	pds	1.3.5.5	COG3349	15-cis-phytoene desaturase
EHJGGDGK_00053	CDS	357				hypothetical protein
EHJGGDGK_00054	CDS	294				hypothetical protein
EHJGGDGK_00055	CDS	2664	kdpB	7.2.2.6		Potassium-transporting ATPase ATP-binding subunit
EHJGGDGK_00056	CDS	2538				hypothetical protein
EHJGGDGK_00057	CDS	264				hypothetical protein
EHJGGDGK_00058	CDS	1086				hypothetical protein
EHJGGDGK_00059	CDS	351				hypothetical protein
EHJGGDGK_00060	CDS	294				hypothetical protein
EHJGGDGK_00061	CDS	1785				hypothetical protein
EHJGGDGK_00062	tRNA	74				tRNA-Gly(ccc)
EHJGGDGK_00063	CDS	687				hypothetical protein
EHJGGDGK_00064	CDS	258				hypothetical protein
EHJGGDGK_00065	CDS	552				hypothetical protein
EHJGGDGK_00066	CDS	1113	dnaN_1		COG0592	Beta sliding clamp
EHJGGDGK_00067	CDS	306				hypothetical protein
EHJGGDGK_00068	CDS	297				hypothetical protein
EHJGGDGK_00069	CDS	120				hypothetical protein
EHJGGDGK_00070	CDS	228				hypothetical protein
EHJGGDGK_00071	CDS	1503				hypothetical protein
EHJGGDGK_00072	CDS	678				hypothetical protein
EHJGGDGK_00073	CDS	921				hypothetical protein
EHJGGDGK_00074	CDS	813	gdhI	1.1.1.47	COG1028	Glucose 1-dehydrogenase 1
EHJGGDGK_00075	CDS	1023		1.1.1.301		D-arabitol-phosphate dehydrogenase
EHJGGDGK_00076	CDS	1080	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
EHJGGDGK_00077	CDS	315				hypothetical protein
EHJGGDGK_00078	CDS	1317	xylA_1	5.3.1.5		Xylose isomerase
EHJGGDGK_00079	CDS	546	prfB_1			Peptide chain release factor 2
EHJGGDGK_00080	CDS	3669				hypothetical protein
EHJGGDGK_00081	CDS	1758	nadB	1.4.3.16	COG0029	L-aspartate oxidase
EHJGGDGK_00082	CDS	777	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
EHJGGDGK_00083	CDS	1257				hypothetical protein
EHJGGDGK_00084	CDS	252	glnH_1		COG0834	Glutamine-binding periplasmic protein
EHJGGDGK_00085	CDS	1524				hypothetical protein
EHJGGDGK_00086	CDS	1863				hypothetical protein
EHJGGDGK_00087	CDS	576				hypothetical protein
EHJGGDGK_00088	CDS	300				hypothetical protein
EHJGGDGK_00089	CDS	561				hypothetical protein
EHJGGDGK_00090	CDS	348				hypothetical protein
EHJGGDGK_00091	CDS	174				hypothetical protein
EHJGGDGK_00092	CDS	1326				hypothetical protein
EHJGGDGK_00093	CDS	1356				hypothetical protein
EHJGGDGK_00094	CDS	933	lnrL_1	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
EHJGGDGK_00095	CDS	825				hypothetical protein
EHJGGDGK_00096	CDS	540				hypothetical protein
