Sequence Id	Length	GC
k105_28277	480	44.79
k105_28276	1610	30.12
k105_28274	307	55.37
k105_28273	483	59.21
k105_28272	383	38.12
k105_28271	747	63.86
k105_28270	377	38.20
k105_28279	315	36.51
k105_28278	606	26.73
k105_15853	331	45.62
k105_90468	394	66.50
k105_75573	671	41.73
k105_126457	202	35.64
k105_120082	543	31.68
k105_126455	996	31.43
k105_126454	389	26.22
k105_126453	386	46.89
k105_126452	609	40.56
k105_126451	386	34.97
k105_120083	980	51.63
k105_126459	416	43.99
k105_126458	422	44.79
k105_152046	488	46.93
k105_152045	1125	55.56
k105_152044	357	29.41
k105_152043	990	41.52
k105_152042	449	48.78
k105_152041	629	42.61
k105_152040	416	58.17
k105_15390	757	49.54
k105_75570	1147	50.22
k105_152049	909	60.84
k105_152048	344	40.70
k105_172822	802	41.90
k105_86406	2044	58.27
k105_120084	897	65.33
k105_132291	467	35.33
k105_19298	391	25.58
k105_120085	1366	65.37
k105_74939	872	42.20
k105_43043	322	60.56
k105_97247	1683	62.92
k105_43041	380	61.05
k105_127960	692	57.23
k105_43047	1494	46.99
k105_43046	372	37.37
k105_43044	211	70.62
k105_114548	344	54.36
k105_159916	753	61.89
k105_119057	726	33.47
k105_142286	387	48.32
k105_114549	717	56.76
k105_86407	569	50.79
k105_60826	211	31.28
k105_15398	354	34.75
k105_173143	881	35.64
k105_111719	372	47.31
k105_15399	382	41.62
k105_166295	613	32.46
k105_17949	1181	39.54
k105_17948	525	47.24
k105_165289	607	53.05
k105_114545	500	73.80
k105_17943	321	43.61
k105_165286	628	38.85
k105_165285	318	26.73
k105_165284	324	63.89
k105_165283	841	56.96
k105_166297	838	53.94
k105_165281	1912	42.99
k105_165280	1036	51.35
k105_114841	481	32.85
k105_114547	837	43.01
k105_166738	310	32.90
k105_166739	552	50.91
k105_114540	577	40.73
k105_166734	570	49.30
k105_166735	319	29.15
k105_166732	433	28.41
k105_166730	384	36.20
k105_166731	596	63.42
k105_51897	1053	51.38
k105_51896	1125	44.53
k105_51895	344	62.79
k105_51058	812	38.55
k105_51893	539	39.70
k105_114542	442	60.86
k105_51890	563	60.39
k105_114543	504	47.82
k105_86401	440	27.27
k105_51899	643	33.28
k105_51898	1055	43.03
k105_70702	1167	67.35
k105_70703	526	43.16
k105_70700	345	56.81
k105_70701	695	64.75
k105_70706	419	64.92
k105_70707	529	28.36
k105_70704	350	59.71
k105_70705	330	65.15
k105_70708	845	46.86
k105_70709	2416	31.91
k105_51053	524	52.10
k105_75574	694	38.18
k105_114848	314	58.28
k105_126212	626	58.47
k105_113118	449	61.25
k105_113119	475	39.58
k105_126456	419	46.06
k105_113112	557	54.58
k105_113113	320	66.88
k105_113110	324	43.83
k105_119	409	45.97
k105_113116	774	39.53
k105_113117	890	56.85
k105_113115	770	45.58
k105_145328	383	62.66
k105_145329	622	65.59
k105_118928	383	58.75
k105_97619	324	43.21
k105_47363	442	57.24
k105_145322	401	34.91
k105_145323	479	37.58
k105_145320	1574	34.12
k105_145321	959	31.07
k105_145326	941	44.53
k105_145324	617	56.89
k105_145325	1386	36.94
k105_165829	810	42.10
k105_165828	763	34.60
k105_165823	587	35.26
k105_165822	496	36.09
k105_165821	796	51.26
k105_165820	271	33.21
k105_165827	1708	44.85
k105_165826	798	39.22
k105_165825	467	42.61
k105_89654	1263	44.66
k105_90961	1514	46.50
k105_89656	795	35.97
k105_89657	599	68.28
k105_89650	371	48.79
k105_89651	461	31.89
k105_89652	594	30.98
k105_90967	262	35.88
k105_90968	328	51.22
k105_90969	494	31.38
k105_81461	455	69.01
k105_111	475	46.95
k105_89658	765	70.20
k105_89659	360	70.28
k105_81465	395	37.72
k105_81464	948	63.71
k105_118672	1555	57.11
k105_6985	571	58.49
k105_129623	704	53.84
k105_173140	423	44.44
k105_118670	305	44.26
k105_64436	778	44.99
k105_72421	614	31.92
k105_45078	434	32.49
k105_45079	483	52.80
k105_6188	339	42.18
k105_167469	466	50.43
k105_167468	1135	38.50
k105_107837	767	54.37
k105_64025	348	64.08
k105_45070	358	49.16
k105_45071	545	62.57
k105_45073	575	41.22
k105_45074	1082	55.27
k105_45075	729	41.15
k105_45076	454	53.74
k105_45077	321	45.48
k105_41579	396	67.68
k105_117470	524	66.22
k105_41578	317	52.68
k105_129311	578	31.14
k105_118675	951	31.02
k105_118980	458	65.72
k105_19294	428	28.50
k105_86167	492	37.20
k105_86166	471	61.15
k105_86165	399	51.63
k105_86164	828	33.94
k105_86163	677	56.28
k105_86162	428	46.96
k105_86161	723	50.76
k105_86160	728	26.92
k105_74098	503	29.03
k105_104894	816	44.73
k105_117473	343	66.18
k105_75323	1776	63.85
k105_129310	420	28.33
k105_64834	378	54.50
k105_64837	505	57.23
k105_64836	340	59.41
k105_66617	406	28.57
k105_104641	411	34.55
k105_64833	513	44.05
k105_64832	562	50.00
k105_162059	582	33.16
k105_42999	512	32.62
k105_19293	573	50.26
k105_19292	401	48.88
k105_116946	386	52.85
k105_90349	435	60.69
k105_116947	483	39.13
k105_90344	819	53.36
k105_90345	410	30.98
k105_90346	410	45.12
k105_90347	428	35.75
k105_90340	431	59.40
k105_90341	426	54.46
k105_90342	207	36.71
k105_90343	656	43.75
k105_15516	791	54.99
k105_15517	586	55.80
k105_15514	820	27.68
k105_15515	1076	33.18
k105_15512	582	31.44
k105_15513	429	27.97
k105_142808	538	55.95
k105_142809	426	58.92
k105_142806	371	56.60
k105_142807	202	36.14
k105_142804	431	48.96
k105_142805	421	42.99
k105_142802	530	39.62
k105_142803	749	57.54
k105_142800	608	39.31
