Assemblies	final.contigs
Adhaeribacter_aquaticus_DSM_16391	-
Aestuariivita_boseongensis	8
Aquimarina_sp._22II-S11-z7	9
Coraliomargarita_akajimensis_DSM_45221	5
Fluviicola_taffensis_DSM_16823	5
Formosa_algae	6
Frankia_sp._Iso899	4
Geobacter_pickeringii	-
Geobacter_sulfurreducens_KN400	1
Ilumatobacter_coccineus_YM16-304	11
Ilumatobacter_fluminis	19
Ilumatobacter_nonamiensis_YM16-303	7
Leisingera_caerulea_DSM_24564	14
Lishizhenia_tianjinensis	3
Magnetococcus_marinus_MC-1	2
Methylobacter_sp._XLMV4	7
Nitrospina_sp._SCGC_AAA288-L16	5
Oceanicola_granulosus_HTCC2516	5
Porticoccus_hydrocarbonoclasticus_MCTG13d	3
Pseudoruegeria_aquimaris	7
Roseobacter_sp._SK209-2-6	7
Shewanella_amazonensis_SB2B	3
Synechococcus_sp._KORDI-49	7
Syntrophus_aciditrophicus	2
Thioalkalivibrio_sp._ALJ17	6
Thioalkalivibrio_sulfidiphilus_HL-EbGr7	6
Thiohalobacter_thiocyanaticus	13
Ulvibacter_litoralis	6
alpha_proteobacterium_BAL199	7
gamma_proteobacterium_SCGC_AB-629-P17	9
marine_gamma_proteobacterium_HTCC2080	14
not_aligned	87970
