Assemblies	final.contigs
Adhaeribacter_aquaticus_DSM_16391	-
Aestuariivita_boseongensis	0.00
Aquimarina_sp._22II-S11-z7	0.00
Coraliomargarita_akajimensis_DSM_45221	0.00
Fluviicola_taffensis_DSM_16823	0.00
Formosa_algae	0.00
Frankia_sp._Iso899	0.00
Geobacter_pickeringii	-
Geobacter_sulfurreducens_KN400	0.00
Ilumatobacter_coccineus_YM16-304	0.00
Ilumatobacter_fluminis	0.00
Ilumatobacter_nonamiensis_YM16-303	0.00
Leisingera_caerulea_DSM_24564	0.00
Lishizhenia_tianjinensis	0.00
Magnetococcus_marinus_MC-1	0.00
Methylobacter_sp._XLMV4	0.00
Nitrospina_sp._SCGC_AAA288-L16	0.00
Oceanicola_granulosus_HTCC2516	0.00
Porticoccus_hydrocarbonoclasticus_MCTG13d	0.00
Pseudoruegeria_aquimaris	0.00
Roseobacter_sp._SK209-2-6	0.00
Shewanella_amazonensis_SB2B	0.00
Synechococcus_sp._KORDI-49	0.00
Syntrophus_aciditrophicus	0.00
Thioalkalivibrio_sp._ALJ17	0.00
Thioalkalivibrio_sulfidiphilus_HL-EbGr7	0.00
Thiohalobacter_thiocyanaticus	0.00
Ulvibacter_litoralis	0.00
alpha_proteobacterium_BAL199	0.00
gamma_proteobacterium_SCGC_AB-629-P17	0.00
marine_gamma_proteobacterium_HTCC2080	0.00
